約定日,受渡日,ファンド名,分配金,口座,取引,買付方法,数量［口］,単価,経費,為替レート,受付金額[現地通貨],受渡金額/(ポイント利用)[円],決済通貨
"2023/4/11","2023/4/14","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","買付","積立","52","19,445","0","-","-","100(22)","円"
"2023/5/9","2023/5/12","eMAXIS Slim 米国株式(S&P500)","再投資型","旧NISA","買付","積立","51","19,865","0","-","-","100(11)","円"
"2023/6/9","2023/6/14","eMAXIS Slim 米国株式(S&P500)","再投資型","旧NISA","買付","積立","47","21,232","0","-","-","100(42)","円"
"2023/6/14","2023/6/19","eMAXIS Slim 米国株式(S&P500)","再投資型","特定","解約","","52","21,747","0","-","-","113","円"
"2023/7/11","2023/7/14","eMAXIS Slim 米国株式(S&P500)","再投資型","旧NISA","買付","積立","45","22,188","0","-","-","100(49)","円"
"2023/8/9","2023/8/15","eMAXIS Slim 米国株式(S&P500)","再投資型","旧NISA","買付","積立","44","22,973","0","-","-","100(99)","円"
"2023/9/11","2023/9/14","eMAXIS Slim 米国株式(S&P500)","再投資型","旧NISA","買付","積立","43","23,354","0","-","-","100(12)","円"
"2023/10/11","2023/10/16","eMAXIS Slim 米国株式(S&P500)","再投資型","旧NISA","買付","積立","44","23,120","0","-","-","100(23)","円"
"2023/11/9","2023/11/14","eMAXIS Slim 米国株式(S&P500)","再投資型","旧NISA","買付","積立","43","23,644","0","-","-","100(100)","円"
"2023/12/11","2023/12/14","eMAXIS Slim 米国株式(S&P500)","再投資型","旧NISA","買付","積立","42","23,948","0","-","-","100(10)","円"
"2024/1/10","2024/1/15","eMAXIS Slim 米国株式(S&P500)","再投資型","NISA成長投資枠","買付","積立","41","24,639","0","-","-","100(12)","円"
"2024/2/9","2024/2/15","eMAXIS Slim 米国株式(S&P500)","再投資型","NISA成長投資枠","買付","積立","38","26,773","0","-","-","100","円"
"2024/3/11","2024/3/14","eMAXIS Slim 米国株式(S&P500)","再投資型","NISA成長投資枠","買付","積立","37","26,990","0","-","-","100(1)","円"
"2024/4/9","2024/4/12","eMAXIS Slim 米国株式(S&P500)","再投資型","NISA成長投資枠","買付","積立","36","28,390","0","-","-","100(2)","円"
"2024/5/9","2024/5/14","eMAXIS Slim 米国株式(S&P500)","再投資型","NISA成長投資枠","買付","積立","35","29,008","0","-","-","100","円"
"2024/6/11","2024/6/14","eMAXIS Slim 米国株式(S&P500)","再投資型","NISA成長投資枠","買付","積立","33","30,346","0","-","-","100(21)","円"
"2024/7/9","2024/7/12","eMAXIS Slim 米国株式(S&P500)","再投資型","NISA成長投資枠","買付","積立","31","32,297","0","-","-","100(100)","円"
